time,velocity,altitude,anomaly_flg,anomaly_desc
2.902,5.0,0.2,N,
2.936,5.0,0.2,N,
2.969,5.0,0.2,N,
3.003,5.0,0.2,N,
3.036,5.0,0.2,N,
3.069,6.0,0.2,N,
3.103,6.0,0.2,N,
3.136,6.0,0.2,N,
3.169,6.0,0.2,N,
3.203,6.0,0.2,N,
3.236,6.0,0.2,N,
3.269,6.0,0.2,N,
3.303,6.0,0.2,N,
3.336,7.0,0.2,N,
3.37,7.0,0.2,N,
3.403,7.0,0.2,N,
3.436,7.0,0.2,N,
3.47,7.0,0.2,N,
3.503,7.0,0.2,N,
3.536,7.0,0.2,N,
3.57,7.0,0.2,N,
3.603,8.0,0.2,N,
3.636,8.0,0.2,N,
3.67,8.0,0.2,N,
3.703,8.0,0.2,N,
3.737,8.0,0.2,N,
3.77,8.0,0.2,N,
3.803,8.0,0.2,N,
3.837,8.0,0.2,N,
3.87,8.0,0.2,N,
3.903,8.0,0.2,N,
3.937,8.0,0.2,N,
3.97,8.0,0.2,N,
4.004,8.0,0.2,N,
4.037,9.0,0.2,N,
4.07,9.0,0.2,N,
4.104,9.0,0.2,N,
4.137,9.0,0.2,N,
4.17,9.0,0.2,N,
4.204,9.0,0.2,N,
4.237,9.0,0.2,N,
4.27,9.0,0.2,N,
4.304,9.0,0.2,N,
4.337,9.0,0.2,N,
4.371,9.0,0.2,N,
4.404,9.0,0.2,N,
4.437,9.0,0.2,N,
4.471,9.0,0.2,N,
4.504,9.0,0.2,N,
4.537,10.0,0.2,N,
4.571,10.0,0.2,N,
4.604,10.0,0.2,N,
4.637,10.0,0.2,N,
4.671,10.0,0.2,N,
4.704,10.0,0.2,N,
4.738,10.0,0.2,N,
4.771,10.0,0.2,N,
4.804,11.0,0.2,N,
4.838,11.0,0.2,N,
4.871,11.0,0.2,N,
4.904,11.0,0.2,N,
4.938,11.0,0.2,N,
4.971,11.0,0.2,N,
5.005,11.0,0.2,N,
5.038,12.0,0.2,N,
5.071,12.0,0.2,N,
5.105,12.0,0.2,N,
5.138,12.0,0.2,N,
5.171,12.0,0.2,N,
5.205,12.0,0.2,N,
5.238,12.0,0.2,N,
5.271,12.0,0.2,N,
5.305,13.0,0.2,N,
5.338,13.0,0.2,N,
5.372,13.0,0.2,N,
5.405,13.0,0.2,N,
5.438,13.0,0.2,N,
5.472,13.0,0.2,N,
5.505,13.0,0.2,N,
5.538,13.0,0.2,N,
5.572,14.0,0.2,N,
5.605,14.0,0.2,N,
5.638,14.0,0.2,N,
5.672,14.0,0.2,N,
5.705,14.0,0.2,N,
5.739,14.0,0.2,N,
5.772,14.0,0.2,N,
